Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,040265,1953,null,null,null,26.8,22.7,21.2,21.0,20.9,23.6,25.7,27.8,null,null
IDCJAC0002,040265,1954,null,null,28.3,26.7,22.9,19.9,20.6,20.4,21.8,24.1,26.6,27.9,null
IDCJAC0002,040265,1955,28.9,28.4,27.8,25.6,22.2,20.3,19.6,21.6,22.6,25.6,26.9,27.4,24.7
IDCJAC0002,040265,1956,28.2,27.6,27.2,26.0,22.2,19.3,19.0,20.3,21.8,25.3,26.6,28.9,24.4
IDCJAC0002,040265,1965,28.1,28.2,27.2,24.8,23.3,20.2,19.2,20.6,23.7,24.2,26.5,26.2,24.4
IDCJAC0002,040265,1966,26.8,28.9,27.5,25.1,22.7,19.9,19.3,19.9,23.1,22.6,26.6,26.4,24.1
IDCJAC0002,040265,1967,26.8,27.4,25.1,23.9,22.0,21.2,18.2,19.9,23.3,24.5,26.4,25.9,23.7
IDCJAC0002,040265,1968,27.5,28.1,27.6,27.4,21.7,20.6,19.9,20.8,22.1,25.6,30.4,28.8,25.0
IDCJAC0002,040265,1969,30.0,29.0,28.3,27.1,22.8,20.9,20.5,22.4,22.0,24.4,27.1,28.6,25.3
IDCJAC0002,040265,1970,29.6,28.3,28.1,26.1,22.1,21.8,20.6,21.9,23.2,25.4,25.9,27.9,25.1
IDCJAC0002,040265,1971,28.9,27.8,26.8,25.1,23.6,21.0,19.7,21.8,23.4,26.3,27.0,null,null
IDCJAC0002,040265,1972,27.8,27.0,27.0,25.9,22.3,20.7,20.9,21.7,23.5,25.4,26.6,28.2,24.8
IDCJAC0002,040265,1973,28.9,28.9,29.5,null,24.7,21.7,20.7,21.9,24.0,25.3,27.6,28.0,null
IDCJAC0002,040265,1974,28.2,28.1,27.0,26.2,23.4,21.2,20.2,20.6,22.2,23.6,25.1,28.2,24.5
IDCJAC0002,040265,1975,27.7,27.9,27.6,25.3,23.2,20.8,20.6,21.6,23.0,24.4,26.7,28.0,24.7
IDCJAC0002,040265,1976,28.0,27.2,27.3,24.7,22.8,21.3,20.7,20.9,22.9,25.0,28.1,28.8,24.8
IDCJAC0002,040265,1977,28.8,29.5,27.9,26.2,23.4,20.5,20.5,22.3,23.3,26.3,26.9,28.3,25.3
IDCJAC0002,040265,1978,29.2,29.2,27.7,26.7,23.0,19.9,20.4,20.1,22.6,24.0,26.0,28.5,24.8
IDCJAC0002,040265,1979,28.8,28.5,27.9,26.4,22.5,21.4,20.9,22.0,23.7,24.9,27.3,30.4,25.4
IDCJAC0002,040265,1980,29.6,28.4,27.5,25.9,23.6,21.6,19.8,22.1,25.7,25.7,27.5,27.5,25.4
IDCJAC0002,040265,1981,28.0,29.4,28.1,26.3,22.7,20.5,20.4,21.9,23.6,24.6,25.7,28.5,25.0
IDCJAC0002,040265,1982,28.8,28.8,28.0,25.4,24.2,20.2,19.9,21.3,22.6,23.8,26.3,28.1,24.8
IDCJAC0002,040265,1983,28.0,29.0,28.5,24.9,23.4,20.5,19.3,20.9,24.2,24.6,26.2,26.5,24.7
IDCJAC0002,040265,1984,27.9,28.0,27.6,24.9,22.6,21.2,19.1,21.4,22.6,23.4,26.0,28.9,24.5
IDCJAC0002,040265,1985,30.0,28.1,26.5,25.3,22.7,20.0,20.4,20.9,23.0,24.8,25.7,29.0,24.7
IDCJAC0002,040265,1986,29.1,29.1,27.4,26.4,23.9,21.0,20.4,21.0,23.7,25.7,26.2,27.3,25.1
IDCJAC0002,040265,1987,30.4,28.4,27.1,25.3,23.3,20.8,20.3,21.5,23.6,26.0,26.0,28.2,25.1
IDCJAC0002,040265,1988,28.6,27.8,26.2,24.9,23.8,21.4,21.4,21.1,23.8,27.9,27.8,27.9,25.2
IDCJAC0002,040265,1989,28.5,26.9,27.3,26.2,23.4,20.4,19.3,20.4,24.2,26.5,25.8,27.1,24.7
IDCJAC0002,040265,1990,28.6,28.9,27.0,25.4,23.5,19.9,20.3,20.8,22.4,25.7,26.7,29.7,24.9
IDCJAC0002,040265,1991,29.5,28.8,28.0,26.8,23.6,23.0,20.3,23.2,25.4,25.8,27.5,28.1,25.8
IDCJAC0002,040265,1992,30.1,28.9,27.0,25.1,22.6,21.0,20.5,22.3,23.5,24.8,27.4,27.1,25.0
IDCJAC0002,040265,1993,29.2,29.4,27.6,25.9,23.8,21.6,21.9,22.2,22.9,25.4,26.3,26.9,25.3
IDCJAC0002,040265,1994,29.9,28.0,26.5,24.9,23.8,21.2,20.9,21.5,24.2,25.8,28.4,27.6,25.2
IDCJAC0002,040265,1995,30.0,28.1,28.6,26.2,23.5,20.9,20.8,21.9,23.7,24.8,28.7,28.8,25.5
IDCJAC0002,040265,1996,29.3,29.0,27.3,27.2,23.3,22.2,20.6,22.0,24.7,24.4,27.8,28.6,25.5
IDCJAC0002,040265,1997,27.4,29.4,null,26.5,23.5,21.1,20.5,21.4,23.9,24.5,26.9,29.4,null
IDCJAC0002,040265,1998,29.9,30.2,29.3,25.7,24.2,21.3,21.2,22.1,24.0,26.3,26.1,null,null
IDCJAC0002,040265,1999,29.4,28.3,27.9,null,null,null,null,21.1,22.9,25.8,25.2,26.3,null
IDCJAC0002,040265,2000,28.8,27.3,27.9,25.9,22.8,20.8,21.0,22.3,25.3,25.1,26.2,28.5,25.2
IDCJAC0002,040265,2001,29.3,28.5,28.7,26.3,23.5,22.6,21.4,22.2,24.2,26.8,27.1,29.6,25.9
IDCJAC0002,040265,2002,30.6,30.0,28.9,26.5,23.1,22.0,21.8,21.2,25.0,26.6,27.1,29.5,26.0
IDCJAC0002,040265,2003,28.6,28.0,26.7,25.9,23.3,21.5,20.6,22.0,25.4,25.7,26.2,28.2,25.2
IDCJAC0002,040265,2004,30.6,30.6,28.0,26.1,23.9,22.6,21.9,22.8,23.9,27.2,27.6,28.4,26.1
IDCJAC0002,040265,2005,29.3,29.9,28.1,26.4,23.5,20.7,21.6,22.4,24.1,27.0,27.4,30.8,25.9
IDCJAC0002,040265,2006,30.1,29.5,27.7,27.0,23.8,21.1,21.9,22.8,23.5,25.0,26.7,27.2,25.5
IDCJAC0002,040265,2007,29.1,28.7,29.2,27.3,25.9,20.2,21.1,null,24.3,27.2,25.7,28.1,null
IDCJAC0002,040265,2008,28.4,28.7,26.8,24.7,23.8,23.1,20.4,21.2,23.6,25.4,27.2,29.3,25.2
IDCJAC0002,040265,2009,29.5,29.5,28.4,26.6,23.4,21.0,21.0,24.3,25.4,26.9,28.3,29.7,26.2
IDCJAC0002,040265,2010,30.4,29.8,27.9,26.3,23.6,21.0,20.9,21.4,24.1,24.4,26.5,27.8,25.3
IDCJAC0002,040265,2011,28.9,29.3,28.4,25.7,22.3,20.3,21.2,21.8,23.7,24.9,28.3,26.4,25.1
IDCJAC0002,040265,2012,28.5,29.0,27.3,25.9,23.3,20.7,20.9,22.6,23.9,25.8,27.5,30.2,25.5
IDCJAC0002,040265,2013,30.1,27.9,27.6,null,null,null,null,null,null,null,null,null,null
