Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,041175,1966,null,null,null,null,null,null,12.3,13.9,17.9,19.9,24.0,24.5,null
IDCJAC0002,041175,1967,25.1,26.1,20.7,19.3,16.0,14.5,12.7,13.4,19.2,22.7,25.2,25.1,20.0
IDCJAC0002,041175,1968,24.8,24.3,23.4,23.5,14.3,13.7,12.5,13.9,17.4,22.1,null,24.7,null
IDCJAC0002,041175,1969,26.8,25.5,24.4,22.9,16.6,14.0,14.1,16.6,15.2,19.8,22.7,26.9,20.5
IDCJAC0002,041175,1970,26.9,24.9,24.6,21.0,16.6,15.3,15.2,15.7,17.1,21.7,22.5,24.2,20.5
IDCJAC0002,041175,1971,25.4,23.6,21.4,19.6,16.8,14.7,13.4,14.9,17.7,22.9,23.3,25.0,19.9
IDCJAC0002,041175,1972,23.9,21.8,23.6,20.0,16.4,14.9,14.0,15.8,19.4,21.2,22.9,27.6,20.1
IDCJAC0002,041175,1973,26.2,25.3,25.2,22.0,19.9,15.2,14.0,15.9,18.8,21.5,24.0,25.2,21.1
IDCJAC0002,041175,1974,22.8,24.5,23.0,21.3,16.2,14.4,13.7,13.7,15.7,19.1,21.0,26.7,19.3
IDCJAC0002,041175,1975,26.7,24.8,23.3,19.6,17.9,13.8,14.8,14.7,17.8,18.9,23.1,24.1,20.0
IDCJAC0002,041175,1976,24.0,22.4,23.4,20.1,17.1,14.5,13.8,14.6,16.3,18.8,24.1,28.3,19.8
IDCJAC0002,041175,1977,26.7,25.1,23.3,20.9,16.9,13.1,13.2,17.3,18.5,23.7,25.1,26.8,20.9
IDCJAC0002,041175,1978,25.5,27.1,24.0,21.5,16.5,12.3,12.7,13.5,16.3,18.8,22.2,24.5,19.6
IDCJAC0002,041175,1979,26.2,24.2,23.9,22.6,16.7,15.8,14.1,15.6,18.5,21.1,24.5,29.7,21.1
IDCJAC0002,041175,1980,28.8,25.4,26.9,22.5,17.5,14.7,13.0,16.6,22.7,23.1,25.8,24.6,21.8
IDCJAC0002,041175,1981,26.4,25.9,24.8,22.1,16.5,13.1,13.0,14.1,20.4,20.7,21.5,26.6,20.4
IDCJAC0002,041175,1982,26.0,25.6,22.9,20.3,17.9,13.9,13.7,16.9,18.0,21.6,25.2,25.9,20.7
