Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,033308,1997,null,null,27.6,null,null,null,null,null,null,null,null,null,null
IDCJAC0002,033308,2000,null,null,null,null,null,null,null,null,null,null,26.5,28.7,null
IDCJAC0002,033308,2001,29.4,28.9,31.2,26.9,25.6,22.6,22.5,23.8,25.8,29.2,30.2,32.4,27.4
IDCJAC0002,033308,2002,31.9,32.2,30.3,28.1,25.3,23.2,22.8,22.7,26.5,28.5,29.3,31.6,27.7
IDCJAC0002,033308,2003,30.8,29.8,28.6,27.4,24.8,23.8,22.0,24.0,27.2,28.7,29.5,30.9,27.3
IDCJAC0002,033308,2004,31.8,31.9,29.5,27.2,25.4,23.4,23.3,25.4,26.3,29.3,29.8,31.5,27.9
IDCJAC0002,033308,2005,30.8,31.2,29.6,26.7,25.2,22.7,22.9,22.7,26.3,29.6,30.7,33.9,27.7
IDCJAC0002,033308,2006,32.3,32.1,29.1,27.9,24.7,21.9,22.3,23.8,24.9,26.3,29.0,28.9,26.9
IDCJAC0002,033308,2007,30.6,28.5,29.9,27.0,25.9,19.7,21.8,23.4,25.3,28.2,27.7,29.6,26.5
IDCJAC0002,033308,2008,29.7,29.3,27.3,26.8,24.1,23.6,21.7,22.4,25.8,27.3,30.6,32.0,26.7
IDCJAC0002,033308,2009,30.1,29.8,28.8,28.3,24.2,23.9,23.1,25.9,27.8,28.8,29.6,30.7,27.6
IDCJAC0002,033308,2010,30.1,29.3,28.3,27.4,24.7,22.6,22.5,23.2,25.7,26.2,26.6,29.1,26.3
IDCJAC0002,033308,2011,30.3,30.0,29.3,26.4,23.7,22.0,22.1,23.1,24.6,27.4,29.6,29.4,26.5
IDCJAC0002,033308,2012,29.7,30.7,29.1,27.1,23.9,22.1,21.0,23.6,25.7,26.6,28.7,31.0,26.6
IDCJAC0002,033308,2013,31.6,29.0,28.0,26.8,24.1,22.6,22.5,25.1,27.9,29.2,30.2,30.5,27.3
IDCJAC0002,033308,2014,30.4,29.1,28.3,27.7,24.9,22.9,22.4,23.2,25.6,27.9,31.1,31.2,27.1
IDCJAC0002,033308,2015,31.4,29.1,30.9,27.6,25.7,23.2,22.1,24.4,25.4,27.4,30.2,30.4,27.3
IDCJAC0002,033308,2016,32.0,30.9,29.3,27.8,27.1,23.5,null,null,null,null,null,null,null
