Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,040004,1941,null,null,null,null,null,null,null,23.5,28.2,29.8,30.7,33.5,null
IDCJAC0002,040004,1942,34.4,28.9,32.0,29.0,26.2,24.1,22.7,25.1,26.6,26.3,29.6,27.9,27.7
IDCJAC0002,040004,1943,30.8,29.9,30.1,27.5,25.7,21.8,23.0,21.8,25.8,28.8,28.1,30.5,27.0
IDCJAC0002,040004,1944,30.7,29.7,27.3,28.2,23.5,21.4,20.4,22.2,24.0,27.5,32.1,32.6,26.6
IDCJAC0002,040004,1945,31.5,31.4,30.4,26.4,23.7,22.0,20.1,22.7,24.1,26.7,29.5,30.2,26.6
IDCJAC0002,040004,1946,31.6,30.8,28.8,26.2,25.2,21.3,22.8,25.5,25.2,26.6,32.2,32.2,27.4
IDCJAC0002,040004,1947,31.9,27.8,28.5,26.2,24.0,22.2,21.5,22.2,24.4,26.1,28.3,29.8,26.1
IDCJAC0002,040004,1948,29.0,30.7,29.6,26.2,23.5,20.7,20.3,22.5,24.5,29.0,30.5,31.2,26.5
IDCJAC0002,040004,1949,31.4,31.0,28.0,25.3,23.4,19.5,20.8,22.1,23.8,27.8,28.5,31.1,26.1
IDCJAC0002,040004,1950,31.2,28.3,28.4,25.5,23.7,20.6,20.4,21.1,24.5,25.8,26.7,28.9,25.4
IDCJAC0002,040004,1951,28.1,29.3,28.9,26.4,22.8,21.1,21.4,21.7,25.6,27.7,32.2,32.8,26.5
IDCJAC0002,040004,1952,33.2,31.1,28.6,26.6,22.6,21.1,20.7,22.4,24.6,26.7,30.7,32.1,26.7
IDCJAC0002,040004,1953,29.4,29.2,28.5,27.7,23.7,22.2,22.1,22.4,25.3,28.5,31.1,33.7,27.0
IDCJAC0002,040004,1954,29.7,29.0,31.1,27.5,23.7,21.0,21.5,22.1,23.2,25.0,29.0,30.0,26.1
IDCJAC0002,040004,1955,31.7,30.9,29.2,27.1,22.9,20.9,20.2,23.2,25.0,28.2,29.8,30.7,26.6
IDCJAC0002,040004,1956,30.7,29.5,28.2,27.5,22.8,20.0,20.0,21.4,23.6,28.0,30.4,31.8,26.2
IDCJAC0002,040004,1957,31.0,30.7,29.3,29.5,25.0,23.0,19.7,22.5,26.3,29.7,32.6,34.3,27.8
IDCJAC0002,040004,1958,32.3,31.0,29.9,25.9,25.8,20.7,21.9,22.6,23.9,29.0,30.0,31.8,27.1
IDCJAC0002,040004,1959,29.9,29.6,29.2,27.0,22.9,21.3,20.4,23.0,24.6,25.6,27.5,30.7,26.0
IDCJAC0002,040004,1960,31.3,31.0,28.7,28.0,22.8,21.1,19.8,21.3,25.2,28.4,28.7,29.1,26.3
IDCJAC0002,040004,1961,29.3,29.4,28.4,26.9,23.5,21.4,20.5,21.4,25.2,27.3,27.7,30.0,25.9
IDCJAC0002,040004,1962,29.5,31.3,27.3,25.0,23.5,22.7,20.6,21.8,24.4,28.1,30.2,28.5,26.1
IDCJAC0002,040004,1963,29.5,31.4,29.0,26.1,22.9,20.6,20.5,22.3,25.4,25.5,27.2,28.6,25.8
IDCJAC0002,040004,1964,32.0,30.4,28.5,26.5,23.3,20.7,21.3,23.0,24.4,25.9,29.2,31.1,26.4
IDCJAC0002,040004,1965,31.6,30.9,31.8,28.4,25.4,21.7,19.9,22.3,26.3,27.5,30.6,29.0,27.1
IDCJAC0002,040004,1966,30.3,32.4,29.4,27.4,23.7,21.2,20.2,21.0,24.2,25.9,29.1,29.7,26.2
IDCJAC0002,040004,1967,30.4,29.5,27.3,26.0,22.8,21.0,20.2,21.2,25.3,28.4,30.7,29.8,26.0
IDCJAC0002,040004,1968,29.8,30.1,29.3,29.5,22.1,21.6,19.8,21.2,24.7,29.0,32.8,31.0,26.7
IDCJAC0002,040004,1969,32.9,31.7,29.6,28.4,23.2,20.8,21.0,23.0,22.9,25.2,28.9,31.8,26.6
IDCJAC0002,040004,1970,32.0,30.6,29.5,26.8,23.5,22.7,21.3,23.4,24.9,27.6,27.6,29.3,26.6
IDCJAC0002,040004,1971,30.6,29.1,27.8,26.5,24.5,21.9,20.8,22.1,25.3,29.2,29.6,30.1,26.5
IDCJAC0002,040004,1972,29.8,27.8,28.6,26.3,22.9,21.4,21.6,23.5,25.8,27.6,28.3,32.2,26.3
IDCJAC0002,040004,1973,31.0,30.5,30.8,28.5,26.5,22.3,21.0,22.6,25.4,27.4,30.1,30.5,27.2
IDCJAC0002,040004,1974,28.3,29.6,28.2,26.8,22.6,21.3,21.4,21.3,23.3,25.4,27.7,31.6,25.6
IDCJAC0002,040004,1975,30.8,30.0,29.3,26.6,24.9,21.1,21.6,22.0,24.1,25.6,28.7,29.1,26.2
IDCJAC0002,040004,1976,29.4,28.5,28.9,25.8,23.3,21.6,21.4,22.1,24.0,26.5,29.9,32.2,26.1
IDCJAC0002,040004,1977,31.9,30.8,28.8,27.0,23.8,20.9,21.1,23.8,25.7,29.5,30.5,32.1,27.2
IDCJAC0002,040004,1978,31.7,32.1,29.5,27.1,23.5,20.1,20.4,20.4,23.5,25.6,27.8,30.3,26.0
IDCJAC0002,040004,1979,30.4,29.3,29.1,28.1,23.4,22.4,21.1,22.9,25.1,27.2,30.1,33.5,26.9
IDCJAC0002,040004,1980,33.4,30.2,31.3,28.5,24.1,21.7,20.3,23.3,28.3,28.0,30.9,29.6,27.5
IDCJAC0002,040004,1981,30.2,30.4,30.2,27.4,23.7,20.6,20.8,22.9,26.7,27.0,27.1,30.9,26.5
IDCJAC0002,040004,1982,30.5,30.3,29.0,26.8,24.8,20.8,20.8,23.0,25.3,27.0,29.4,31.0,26.6
IDCJAC0002,040004,1983,30.6,32.6,30.4,25.9,23.3,20.4,19.9,21.3,26.5,26.6,27.6,28.6,26.1
IDCJAC0002,040004,1984,29.3,30.0,29.9,26.3,23.8,21.7,19.1,22.5,24.1,25.6,28.6,31.3,26.0
IDCJAC0002,040004,1985,32.2,30.6,28.2,26.8,23.9,20.7,21.1,22.2,25.0,26.2,27.7,30.9,26.3
IDCJAC0002,040004,1986,32.1,32.2,29.8,29.7,24.7,22.4,21.7,21.8,26.6,28.3,28.1,30.2,27.3
IDCJAC0002,040004,1987,33.1,31.7,30.3,27.5,24.3,21.8,21.8,23.0,26.1,27.1,28.9,31.3,27.2
IDCJAC0002,040004,1988,30.4,29.5,28.0,26.0,24.2,21.8,21.4,21.7,25.2,31.5,30.8,29.7,26.7
IDCJAC0002,040004,1989,30.7,28.3,28.8,26.1,23.6,20.4,19.6,21.3,25.7,29.5,27.4,29.6,25.9
IDCJAC0002,040004,1990,31.3,30.4,28.0,25.6,23.8,20.3,21.5,21.5,24.1,28.6,31.5,33.7,26.7
IDCJAC0002,040004,1991,31.5,30.6,30.4,28.8,24.9,23.9,21.6,24.6,28.3,29.2,31.5,30.7,28.0
IDCJAC0002,040004,1992,31.8,29.8,28.4,25.6,23.0,20.9,21.6,23.1,25.7,27.3,29.7,30.6,26.5
IDCJAC0002,040004,1993,31.9,32.0,30.6,28.8,25.3,22.7,23.2,24.0,25.3,28.4,29.6,31.4,27.8
IDCJAC0002,040004,1994,33.5,28.8,27.3,26.1,24.8,22.2,21.7,23.0,26.6,28.3,31.4,31.5,27.1
IDCJAC0002,040004,1995,31.0,29.3,30.2,26.9,23.9,21.3,21.6,23.5,26.0,28.0,30.9,29.7,26.9
IDCJAC0002,040004,1996,30.8,30.4,29.7,28.5,23.7,22.2,21.0,23.0,27.0,27.1,31.0,30.4,27.1
IDCJAC0002,040004,1997,29.6,31.2,30.0,28.4,23.7,21.3,21.6,23.5,27.0,27.7,30.1,32.3,27.2
