Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,033058,1939,null,null,null,null,null,null,21.3,22.4,23.8,26.5,29.2,31.3,null
IDCJAC0002,033058,1940,31.4,30.4,28.0,27.1,25.1,22.6,21.6,22.5,25.1,27.4,30.6,31.4,26.9
IDCJAC0002,033058,1941,30.2,29.7,29.6,26.7,24.5,21.4,21.6,21.8,25.4,28.0,29.2,30.2,26.5
IDCJAC0002,033058,1942,31.6,29.5,30.6,28.3,25.5,null,null,null,null,null,29.0,28.9,null
IDCJAC0002,033058,1943,29.6,28.3,28.1,27.8,23.8,20.5,21.7,23.0,25.2,27.9,29.6,30.8,26.4
IDCJAC0002,033058,1944,31.2,29.7,27.8,26.8,24.4,21.2,20.8,22.1,23.4,25.8,29.0,29.9,26.0
IDCJAC0002,033058,1945,30.5,30.3,28.7,26.3,24.0,23.6,21.3,23.9,25.0,26.8,29.1,30.3,26.6
IDCJAC0002,033058,1946,29.8,30.4,29.6,27.8,26.2,21.6,21.4,23.1,24.7,26.3,28.9,30.7,26.7
IDCJAC0002,033058,1947,30.7,28.1,28.9,26.8,23.6,22.8,22.3,22.8,24.6,26.8,29.2,30.1,26.4
IDCJAC0002,033058,1948,29.4,29.8,30.0,27.3,24.7,null,null,23.0,24.8,27.5,29.5,30.3,null
IDCJAC0002,033058,1949,30.1,30.9,28.5,25.8,23.7,20.8,21.2,22.2,24.6,28.1,29.7,30.7,26.4
IDCJAC0002,033058,1950,30.3,29.8,29.1,26.7,25.3,21.7,22.1,21.3,23.9,27.2,27.7,28.3,26.1
IDCJAC0002,033058,1951,28.3,28.9,28.9,28.8,25.0,22.9,21.7,22.6,24.3,26.7,29.6,31.1,26.6
IDCJAC0002,033058,1952,30.7,30.3,29.6,28.6,25.2,22.7,21.4,23.5,25.4,27.7,30.4,31.2,27.2
IDCJAC0002,033058,1953,29.5,29.4,28.0,28.3,24.8,22.7,21.8,21.9,24.2,27.4,29.7,31.5,26.6
IDCJAC0002,033058,1954,29.1,30.2,29.9,27.5,24.4,21.3,21.9,23.0,24.7,26.9,29.8,null,null
IDCJAC0002,033058,1955,30.4,29.3,null,null,24.7,22.0,21.2,23.4,24.6,27.7,28.3,30.8,null
IDCJAC0002,033058,1956,29.9,29.9,28.9,27.9,25.1,22.2,21.9,21.4,23.3,27.1,28.7,30.5,26.4
IDCJAC0002,033058,1957,29.3,29.4,29.0,28.3,24.6,22.8,20.8,22.4,24.8,27.7,29.9,31.1,26.7
IDCJAC0002,033058,1958,30.6,31.4,29.3,26.6,26.3,21.4,22.6,22.3,24.7,28.1,28.8,30.9,26.9
IDCJAC0002,033058,1959,29.4,29.2,28.6,27.0,23.8,21.2,21.3,22.1,24.8,26.8,28.7,31.4,26.2
IDCJAC0002,033058,1960,29.8,30.1,27.9,27.0,23.6,21.6,20.9,21.6,24.5,27.4,28.8,29.2,26.0
IDCJAC0002,033058,1961,27.7,29.1,27.1,26.4,22.7,21.1,21.2,21.3,23.9,26.4,28.6,29.7,25.4
IDCJAC0002,033058,1962,30.1,30.1,28.4,25.5,24.7,22.7,20.8,21.7,25.1,27.7,29.9,29.3,26.3
IDCJAC0002,033058,1963,28.8,29.4,28.8,26.3,24.9,21.8,20.6,22.4,24.6,24.6,27.5,28.7,25.7
IDCJAC0002,033058,1964,30.5,30.5,28.2,27.2,24.5,21.9,22.3,22.4,25.1,26.9,28.4,30.3,26.5
IDCJAC0002,033058,1965,29.8,29.7,28.3,27.2,24.5,22.0,20.1,21.8,24.6,27.2,29.2,29.1,26.1
IDCJAC0002,033058,1966,29.1,29.8,29.7,27.7,23.9,21.9,20.8,22.2,25.2,26.7,29.0,29.7,26.3
