Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,031110,1970,null,31.7,33.9,null,27.3,26.5,25.5,26.2,31.7,null,31.2,null,null
IDCJAC0002,031110,1971,null,30.5,null,27.4,27.5,25.5,25.6,null,30.2,33.7,35.7,33.7,null
IDCJAC0002,031110,1972,32.6,30.5,null,null,null,null,null,null,null,null,33.3,33.4,null
IDCJAC0002,031110,1973,34.1,31.8,29.9,28.2,28.1,28.0,27.6,28.9,29.9,32.4,32.4,31.7,30.2
IDCJAC0002,031110,1974,30.1,30.4,29.6,29.3,27.9,26.9,27.2,29.0,null,32.3,33.4,null,null
