Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,040062,1913,26.4,26.8,27.2,24.8,20.6,18.9,19.7,21.8,23.6,26.6,30.7,28.9,24.7
IDCJAC0002,040062,1914,29.7,26.8,26.6,27.4,22.0,19.6,18.3,21.2,23.1,23.9,28.6,29.4,24.7
IDCJAC0002,040062,1915,28.2,28.4,27.6,26.7,21.8,21.3,20.8,22.4,27.4,28.1,31.3,27.2,25.9
IDCJAC0002,040062,1916,29.7,29.8,28.3,24.5,22.4,19.4,18.8,20.4,21.9,24.7,26.2,26.9,24.4
IDCJAC0002,040062,1917,28.7,25.9,26.4,24.5,21.4,19.4,21.7,20.0,23.6,24.3,25.6,26.4,24.0
IDCJAC0002,040062,1918,26.4,26.7,24.4,23.2,21.9,21.6,19.8,21.2,22.6,27.9,28.4,29.1,24.4
IDCJAC0002,040062,1919,30.5,30.1,28.4,24.1,21.4,19.9,19.8,20.5,24.7,27.2,28.2,29.8,25.4
IDCJAC0002,040062,1920,27.2,27.2,26.3,24.3,21.7,20.3,19.2,19.8,22.2,24.4,27.0,29.1,24.1
IDCJAC0002,040062,1921,26.3,26.8,25.3,24.3,22.8,20.8,20.2,18.9,22.2,24.4,28.6,null,null
IDCJAC0002,040062,1935,29.4,29.4,26.7,25.1,21.9,20.2,19.5,20.4,22.4,25.9,27.7,28.9,24.8
IDCJAC0002,040062,1936,28.0,28.5,25.5,24.1,21.7,19.2,19.4,23.3,24.5,28.5,29.4,30.0,25.2
IDCJAC0002,040062,1937,31.3,27.6,26.9,24.5,23.3,18.1,19.1,20.6,24.4,27.5,25.9,28.8,24.8
IDCJAC0002,040062,1938,27.9,30.4,27.8,26.2,22.0,19.4,18.1,19.8,23.3,26.2,27.3,31.5,25.0
IDCJAC0002,040062,1939,31.3,27.7,26.5,23.9,22.1,19.8,17.8,21.1,23.7,24.7,27.8,29.2,24.6
IDCJAC0002,040062,1940,31.2,28.2,25.9,24.3,21.6,20.3,19.8,21.3,24.0,26.7,29.3,28.0,25.1
IDCJAC0002,040062,1941,26.9,27.2,26.9,23.4,21.4,19.6,20.6,21.0,26.4,27.7,28.3,30.6,25.0
IDCJAC0002,040062,1942,31.2,26.2,29.0,24.6,23.1,20.9,20.3,23.3,24.5,25.9,28.2,26.6,25.3
IDCJAC0002,040062,1943,28.7,27.5,27.8,25.5,22.8,18.9,20.7,20.2,24.3,25.6,26.2,28.8,24.8
IDCJAC0002,040062,1944,28.8,27.8,26.6,26.8,22.6,19.2,19.2,21.1,22.8,25.9,30.2,30.8,25.1
IDCJAC0002,040062,1945,29.3,29.7,27.9,24.0,21.6,21.1,19.2,23.2,23.8,26.2,28.5,28.7,25.3
IDCJAC0002,040062,1946,29.8,28.8,26.8,25.1,23.8,20.3,22.1,24.6,24.6,25.4,29.8,30.8,26.0
IDCJAC0002,040062,1947,29.9,26.6,26.8,24.3,22.1,20.6,20.4,21.2,23.1,24.8,26.3,28.1,24.5
IDCJAC0002,040062,1948,26.9,28.1,26.9,23.5,21.9,19.8,19.9,21.7,23.7,28.2,28.9,28.5,24.8
IDCJAC0002,040062,1949,28.8,28.9,26.0,23.2,21.6,18.3,19.4,20.6,22.5,26.0,27.1,29.2,24.3
IDCJAC0002,040062,1950,28.8,26.2,25.9,24.1,22.3,19.2,19.3,19.9,23.2,24.3,25.5,26.8,23.8
IDCJAC0002,040062,1951,25.7,27.4,26.9,25.6,21.8,20.3,20.2,21.2,24.7,26.4,30.9,31.3,25.2
IDCJAC0002,040062,1952,30.2,28.9,26.7,25.7,21.6,20.4,19.3,21.2,23.7,25.4,29.6,30.6,25.3
IDCJAC0002,040062,1953,26.9,27.4,26.4,26.7,22.4,21.4,21.4,22.3,23.6,26.6,29.2,30.7,25.4
IDCJAC0002,040062,1954,26.7,27.6,29.2,25.5,22.4,19.8,20.6,21.2,22.4,24.3,27.7,27.7,24.6
IDCJAC0002,040062,1955,29.8,28.6,26.6,24.8,21.9,20.2,19.2,22.9,23.6,28.0,28.5,29.7,25.3
IDCJAC0002,040062,1956,28.6,28.2,26.1,26.8,22.1,19.6,19.6,20.7,22.8,26.8,28.6,30.1,25.0
IDCJAC0002,040062,1965,28.7,28.4,28.8,26.2,23.5,19.8,19.0,20.8,24.2,25.8,28.5,26.4,25.0
IDCJAC0002,040062,1966,26.8,31.0,27.3,25.1,22.4,20.2,19.0,20.0,24.9,24.7,23.8,28.1,24.4
IDCJAC0002,040062,1967,28.3,27.5,25.1,24.7,20.8,20.0,19.5,19.5,26.6,26.6,27.6,29.7,24.7
IDCJAC0002,040062,1968,25.5,29.4,26.3,28.2,20.9,19.6,20.3,21.6,24.5,29.0,31.1,29.2,25.5
IDCJAC0002,040062,1969,31.2,29.8,27.7,27.9,23.6,21.3,20.4,23.7,24.2,24.8,29.8,null,null
IDCJAC0002,040062,1970,30.3,27.6,28.2,28.0,27.3,23.3,19.8,22.2,24.0,26.1,null,28.0,null
IDCJAC0002,040062,1971,29.0,29.0,null,25.3,null,null,null,21.4,23.8,28.0,28.0,26.4,null
