Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,038002,1954,null,null,null,null,24.4,20.1,19.3,23.7,26.7,31.7,34.9,37.4,null
IDCJAC0002,038002,1955,38.6,36.1,32.8,28.3,21.8,21.4,17.9,23.4,28.6,31.5,34.0,36.1,29.2
IDCJAC0002,038002,1956,37.6,37.9,32.8,28.9,22.7,18.8,19.3,20.4,24.8,29.6,34.0,38.1,28.7
IDCJAC0002,038002,1957,39.6,37.0,35.1,31.7,25.7,24.7,17.2,24.1,28.0,32.4,35.8,39.0,30.9
IDCJAC0002,038002,1958,38.9,37.9,35.4,31.1,27.3,20.7,21.7,23.4,24.3,31.6,34.8,35.4,30.2
IDCJAC0002,038002,1959,38.5,37.7,34.6,31.2,24.3,22.3,20.7,24.5,27.1,30.6,37.1,35.0,30.3
IDCJAC0002,038002,1960,40.6,36.8,34.7,29.2,20.7,19.7,21.0,20.5,26.3,31.0,33.7,35.7,29.2
IDCJAC0002,038002,1961,37.5,36.2,35.0,31.2,24.7,21.5,19.8,21.4,28.1,33.5,34.1,38.6,30.1
IDCJAC0002,038002,1962,35.7,38.2,34.2,29.8,23.3,23.3,21.3,20.9,26.5,31.2,37.5,36.5,29.9
IDCJAC0002,038002,1963,37.3,39.6,35.1,28.2,24.3,19.7,20.1,22.6,27.1,31.8,35.6,38.0,30.0
IDCJAC0002,038002,1964,37.1,36.0,35.5,30.7,23.2,22.3,22.9,24.7,28.9,29.5,35.1,36.6,30.2
IDCJAC0002,038002,1965,39.4,40.4,36.5,29.2,26.1,22.7,19.6,23.8,30.8,34.0,35.9,38.4,31.4
IDCJAC0002,038002,1966,35.5,37.5,35.1,31.4,null,22.6,18.5,19.6,25.9,30.4,35.4,35.3,null
IDCJAC0002,038002,1967,40.8,37.8,32.8,31.1,25.6,19.7,20.2,22.4,27.7,35.5,36.2,36.3,30.5
IDCJAC0002,038002,1968,39.3,38.8,37.1,32.3,20.6,22.0,17.9,21.0,26.1,32.1,35.4,37.4,30.0
IDCJAC0002,038002,1969,41.8,39.6,34.6,30.2,24.8,21.0,21.7,24.5,25.7,34.7,35.2,37.2,30.9
IDCJAC0002,038002,1970,38.7,37.5,33.4,28.9,22.4,23.3,21.0,22.0,26.1,33.2,35.1,37.3,29.9
IDCJAC0002,038002,1971,40.3,38.5,33.4,27.9,23.6,19.0,19.6,22.0,28.6,33.0,33.9,38.2,29.8
IDCJAC0002,038002,1972,36.0,36.8,34.8,30.5,26.1,23.7,21.9,24.9,29.9,33.3,36.7,41.6,31.4
IDCJAC0002,038002,1973,41.6,36.1,35.5,31.3,26.7,21.3,22.1,22.1,28.1,32.8,34.1,36.2,30.7
IDCJAC0002,038002,1974,34.2,32.3,33.8,29.0,23.4,20.8,22.5,23.2,24.8,31.1,34.3,38.1,29.0
IDCJAC0002,038002,1975,38.7,35.9,35.1,31.0,27.2,21.4,23.1,22.8,28.1,29.4,35.5,35.7,30.3
