Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,037010,1907,36.2,34.9,35.8,32.4,29.9,26.5,26.9,29.6,32.4,37.1,37.2,35.5,32.9
IDCJAC0002,037010,1908,35.8,34.9,33.9,32.2,28.6,25.1,26.6,28.4,30.8,33.1,37.6,38.3,32.1
IDCJAC0002,037010,1909,38.9,37.8,34.9,30.9,27.4,25.9,24.4,29.3,32.1,37.5,37.0,37.2,32.8
IDCJAC0002,037010,1910,37.1,35.4,32.1,32.1,20.2,26.6,28.0,29.8,34.1,35.8,35.7,37.4,32.0
IDCJAC0002,037010,1911,36.6,36.9,35.3,31.1,27.8,25.2,25.9,28.9,31.4,35.1,36.0,37.5,32.3
IDCJAC0002,037010,1912,39.9,35.8,36.3,33.7,30.1,24.8,24.7,28.3,34.2,36.5,35.9,38.4,33.2
IDCJAC0002,037010,1913,39.1,33.8,33.2,33.2,26.0,23.1,26.6,28.5,31.5,35.8,39.0,39.1,32.4
IDCJAC0002,037010,1914,37.0,39.2,36.7,35.9,31.1,26.2,23.7,28.8,31.3,34.3,37.8,38.3,33.4
IDCJAC0002,037010,1915,35.9,38.3,38.0,34.8,27.5,27.5,28.6,28.6,34.9,35.4,38.2,36.8,33.7
IDCJAC0002,037010,1916,35.2,34.4,36.9,32.2,30.1,28.4,25.0,29.2,30.9,34.9,34.1,33.9,32.1
IDCJAC0002,037010,1917,34.5,32.0,33.1,31.9,26.1,24.1,28.5,27.3,32.3,35.1,34.4,37.7,31.4
IDCJAC0002,037010,1918,33.1,32.9,32.9,31.9,28.8,28.3,24.2,28.1,31.4,35.4,37.3,39.4,32.0
IDCJAC0002,037010,1919,35.0,33.1,35.3,33.5,27.8,26.8,25.4,27.8,31.3,35.6,38.4,39.7,32.5
IDCJAC0002,037010,1920,35.1,35.1,35.3,31.9,28.3,27.3,25.6,29.2,31.9,34.7,35.9,33.7,32.0
IDCJAC0002,037010,1921,33.7,33.6,31.4,31.2,31.0,26.9,25.6,26.3,31.6,34.4,38.1,37.8,31.8
IDCJAC0002,037010,1922,38.9,36.2,35.1,35.3,29.2,25.6,22.5,26.7,32.3,34.5,37.3,36.4,32.5
IDCJAC0002,037010,1923,38.5,38.4,36.4,33.2,30.7,24.3,23.0,25.7,30.8,34.8,38.1,36.3,32.5
IDCJAC0002,037010,1924,36.7,33.4,34.4,29.8,29.4,25.4,26.8,28.1,32.8,35.9,36.5,35.3,32.0
IDCJAC0002,037010,1925,34.7,35.5,33.4,32.2,28.9,25.4,23.8,26.4,29.3,35.4,36.7,40.4,31.8
IDCJAC0002,037010,1926,37.6,40.0,35.7,34.9,26.9,25.5,27.5,30.1,31.5,37.3,38.1,37.6,33.6
