Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,045017,1938,36.9,35.7,35.3,29.7,24.7,18.3,18.0,20.6,26.4,32.6,35.8,39.3,29.4
IDCJAC0002,045017,1939,39.7,34.4,32.1,26.6,25.2,18.3,16.5,20.1,25.1,27.6,31.7,36.1,27.8
IDCJAC0002,045017,1940,39.4,35.5,35.2,28.5,22.8,20.8,20.4,22.1,26.8,32.7,32.7,37.7,29.6
IDCJAC0002,045017,1941,29.4,34.4,28.9,28.6,23.1,19.1,19.4,21.5,27.6,29.7,35.3,37.2,27.9
IDCJAC0002,045017,1942,39.1,33.9,34.2,28.6,23.7,20.7,19.4,23.8,27.6,29.6,35.0,33.7,29.1
IDCJAC0002,045017,1943,35.6,35.9,36.8,29.5,22.7,18.6,18.7,18.6,24.8,30.2,32.4,37.4,28.4
IDCJAC0002,045017,1944,38.4,34.6,33.9,27.6,21.4,19.7,18.8,21.4,26.7,30.9,36.3,36.7,28.9
IDCJAC0002,045017,1945,38.1,35.6,33.1,28.0,23.6,21.7,18.1,23.0,25.8,27.4,32.9,36.9,28.7
IDCJAC0002,045017,1946,37.4,37.3,31.0,26.2,25.5,18.7,21.2,23.1,25.6,29.4,36.8,34.8,28.9
IDCJAC0002,045017,1947,39.4,31.8,31.2,25.8,24.4,19.6,18.7,19.7,23.7,28.2,31.1,33.9,27.3
IDCJAC0002,045017,1948,34.6,36.5,30.6,27.4,21.8,18.2,18.1,21.9,26.6,30.2,34.4,35.9,28.0
IDCJAC0002,045017,1949,35.4,34.1,28.4,25.1,20.8,16.1,19.2,21.9,23.7,28.4,31.3,38.0,26.9
IDCJAC0002,045017,1950,36.6,34.4,28.4,25.9,22.9,16.9,18.0,20.9,25.8,26.9,30.2,33.9,26.7
IDCJAC0002,045017,1951,35.8,36.8,35.9,26.2,23.4,19.7,20.1,20.9,27.8,30.4,34.5,36.1,29.0
IDCJAC0002,045017,1952,40.0,35.5,31.8,25.3,22.2,20.2,17.5,20.8,26.5,28.4,31.7,null,null
IDCJAC0002,045017,1953,35.3,32.5,34.6,30.6,22.6,21.1,20.8,19.8,26.9,30.0,33.8,38.4,28.9
IDCJAC0002,045017,1954,34.3,31.7,34.1,28.9,22.7,18.1,19.0,21.9,25.3,28.9,33.1,35.3,27.8
IDCJAC0002,045017,1955,35.9,34.3,32.7,28.3,19.9,20.0,16.2,21.7,26.4,29.9,33.1,34.0,27.7
IDCJAC0002,045017,1956,34.9,32.9,28.3,25.8,20.2,17.1,18.2,19.1,22.8,27.8,31.8,36.3,26.3
IDCJAC0002,045017,1957,39.4,36.3,34.5,30.6,24.4,23.1,16.7,22.3,26.2,31.7,34.9,38.0,29.8
IDCJAC0002,045017,1958,38.1,36.7,33.9,30.0,26.2,19.3,19.6,20.9,22.7,29.3,32.5,34.7,28.7
