Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,044036,1942,null,null,null,28.5,23.7,21.5,18.4,23.4,26.8,28.6,32.7,32.2,null
IDCJAC0002,044036,1943,33.6,34.7,35.7,27.5,22.4,17.0,18.4,18.7,24.3,29.8,31.2,36.3,27.5
IDCJAC0002,044036,1944,38.0,34.2,33.3,26.4,21.3,19.8,18.6,20.8,25.7,30.2,35.7,36.2,28.4
IDCJAC0002,044036,1945,37.2,34.5,32.5,26.5,22.5,20.8,17.7,22.2,25.8,27.5,33.0,36.3,28.0
IDCJAC0002,044036,1946,36.7,36.4,30.2,26.1,24.8,17.9,21.1,23.3,24.7,28.9,36.6,null,null
IDCJAC0002,044036,1947,null,null,30.2,25.4,24.0,19.9,18.8,19.7,23.8,28.2,30.8,33.8,null
IDCJAC0002,044036,1948,33.6,35.7,30.2,27.1,21.2,19.1,18.3,22.2,26.2,30.1,34.1,36.6,27.9
IDCJAC0002,044036,1949,35.1,34.3,29.6,25.6,21.5,15.7,19.3,22.0,23.6,28.2,31.2,37.2,26.9
IDCJAC0002,044036,1950,35.7,32.2,28.6,null,22.9,17.6,19.3,null,25.7,null,null,null,null
IDCJAC0002,044036,1951,35.2,null,null,null,null,null,null,null,27.2,29.7,34.8,35.6,null
IDCJAC0002,044036,1952,39.8,34.7,31.1,25.3,22.1,20.5,17.8,20.9,26.1,27.8,31.4,36.5,27.8
IDCJAC0002,044036,1953,31.7,29.9,32.9,29.4,22.4,20.7,20.2,20.1,26.7,29.7,32.7,38.6,27.9
IDCJAC0002,044036,1954,32.3,31.6,34.6,29.3,23.2,18.4,19.2,21.8,25.2,28.6,33.2,35.1,27.7
IDCJAC0002,044036,1955,34.7,33.0,31.9,28.2,20.2,19.8,16.8,22.0,26.5,29.7,32.3,34.2,27.4
IDCJAC0002,044036,1956,34.1,32.1,29.3,26.2,null,17.2,18.1,19.2,22.7,26.9,31.2,35.3,null
IDCJAC0002,044036,1958,37.6,36.2,34.3,28.7,26.1,19.2,19.9,20.9,23.8,30.4,32.9,36.1,28.8
IDCJAC0002,044036,1959,33.8,34.4,33.3,28.1,22.2,19.6,19.1,null,25.4,30.2,35.4,35.6,null
IDCJAC0002,044036,1960,37.6,35.5,32.6,29.7,19.3,null,18.7,20.0,25.7,30.6,31.4,34.1,null
IDCJAC0002,044036,1961,34.3,33.8,32.5,27.4,22.1,19.7,18.6,21.3,27.6,32.9,34.4,36.3,28.4
IDCJAC0002,044036,1963,32.4,37.2,31.2,27.6,23.2,19.0,18.6,21.5,26.3,29.0,31.6,35.9,27.8
IDCJAC0002,044036,1964,36.0,33.9,33.8,28.0,22.2,19.7,20.8,21.9,26.2,27.5,31.8,35.2,28.1
IDCJAC0002,044036,1965,37.5,37.6,34.0,28.3,23.9,20.4,18.1,22.4,28.6,31.6,34.7,35.1,29.4
IDCJAC0002,044036,1966,34.2,35.9,32.8,29.7,21.9,19.9,17.0,19.0,24.1,29.5,31.9,37.6,27.8
IDCJAC0002,044036,1967,38.2,37.3,29.5,28.9,null,null,null,null,null,null,null,null,null
