Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,045025,1999,null,null,null,null,null,null,22.4,23.5,28.4,31.1,29.5,31.6,null
IDCJAC0002,045025,2000,35.9,34.1,32.2,26.6,20.9,19.1,20.6,21.8,30.6,29.1,32.5,36.8,28.4
IDCJAC0002,045025,2001,40.1,38.6,33.0,30.4,24.0,21.1,19.4,22.5,27.6,28.3,32.1,36.7,29.5
IDCJAC0002,045025,2002,38.4,35.4,35.0,32.4,24.7,21.7,21.6,23.5,27.9,31.9,37.4,37.2,30.6
IDCJAC0002,045025,2003,40.2,36.3,33.1,29.0,25.0,20.0,20.8,22.6,29.0,29.2,34.8,38.4,29.9
IDCJAC0002,045025,2004,38.3,37.6,35.7,29.9,22.7,20.1,19.1,22.1,26.0,31.4,32.9,37.2,29.4
IDCJAC0002,045025,2005,38.6,34.5,34.8,33.1,25.1,20.0,20.5,22.5,27.6,33.0,35.7,38.9,30.4
IDCJAC0002,045025,2006,40.3,39.9,34.1,28.5,23.0,19.3,18.8,23.8,28.2,33.5,36.3,37.0,30.2
IDCJAC0002,045025,2007,36.4,38.0,34.7,30.5,25.7,16.5,21.4,24.3,28.2,33.0,31.7,35.4,29.7
IDCJAC0002,045025,2008,36.4,32.8,33.7,27.8,24.5,20.7,19.6,20.2,27.3,33.3,32.4,37.4,28.8
IDCJAC0002,045025,2009,38.3,37.6,36.1,28.8,23.6,21.1,20.3,26.1,27.5,30.4,35.8,36.6,30.2
IDCJAC0002,045025,2010,37.3,31.7,30.4,28.9,23.2,19.7,18.2,19.5,23.9,28.0,29.6,33.6,27.0
IDCJAC0002,045025,2011,41.3,36.7,31.6,28.4,22.3,21.1,19.7,24.8,27.7,30.7,35.1,33.0,29.4
IDCJAC0002,045025,2012,35.9,35.1,30.8,29.5,24.5,19.0,19.0,22.9,28.8,32.7,37.4,39.1,29.6
IDCJAC0002,045025,2013,41.6,35.6,32.9,29.7,24.7,20.3,21.9,25.1,32.0,32.9,35.1,38.1,30.8
IDCJAC0002,045025,2014,39.6,36.3,33.0,30.8,25.9,20.2,20.6,21.0,27.1,33.7,37.8,37.5,30.3
IDCJAC0002,045025,2015,36.7,38.4,36.4,27.9,24.2,21.2,19.1,22.7,26.7,35.8,36.3,38.2,30.3
IDCJAC0002,045025,2016,36.8,38.1,34.9,33.1,25.5,18.6,null,null,null,null,null,null,null
