Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,040764,1992,null,26.6,null,24.0,22.1,20.5,20.9,21.7,22.3,null,null,null,null
IDCJAC0002,040764,1993,26.7,28.6,27.6,24.5,22.6,20.4,21.0,21.4,21.6,23.0,24.1,26.1,24.0
IDCJAC0002,040764,1994,27.7,25.8,25.0,23.6,21.4,18.8,18.3,18.4,21.0,22.3,25.7,25.9,22.8
IDCJAC0002,040764,1995,27.0,26.8,27.0,24.7,22.8,20.5,20.3,20.8,22.4,23.3,26.4,26.3,24.0
IDCJAC0002,040764,1996,27.5,27.5,26.1,25.3,22.9,21.5,20.0,20.8,22.8,23.1,26.3,25.7,24.1
IDCJAC0002,040764,1997,25.8,27.6,27.7,26.2,23.4,21.4,20.6,20.4,22.8,23.6,25.4,26.9,24.3
IDCJAC0002,040764,1998,26.8,27.3,27.0,24.7,23.1,20.6,19.8,20.3,22.1,24.5,24.1,26.4,23.9
IDCJAC0002,040764,1999,27.5,27.4,26.6,24.4,22.7,20.4,21.2,20.8,22.2,24.3,25.3,25.4,24.0
IDCJAC0002,040764,2000,27.5,26.6,27.2,25.3,23.0,20.3,21.9,22.1,25.8,25.7,26.3,27.9,25.0
IDCJAC0002,040764,2001,29.3,28.2,28.7,26.2,23.7,23.0,21.8,22.6,24.0,26.4,26.7,29.3,25.8
IDCJAC0002,040764,2002,29.8,30.4,28.8,26.3,23.5,22.1,21.9,21.5,25.0,26.4,27.8,28.5,26.0
IDCJAC0002,040764,2003,29.1,28.0,27.1,25.4,23.8,22.3,21.1,22.1,26.2,25.3,26.5,28.6,25.5
IDCJAC0002,040764,2004,30.8,31.3,28.1,26.7,23.7,22.8,22.2,23.5,24.9,27.1,28.4,28.8,26.5
IDCJAC0002,040764,2005,29.8,30.9,28.7,27.0,23.8,21.7,22.0,22.5,25.2,27.7,28.5,31.4,26.6
IDCJAC0002,040764,2006,30.6,30.5,28.6,27.8,24.7,21.4,22.1,23.3,24.2,26.3,27.7,27.8,26.2
IDCJAC0002,040764,2007,30.8,29.5,30.0,27.4,26.0,21.1,21.7,23.1,25.4,27.8,26.9,28.5,26.5
IDCJAC0002,040764,2008,28.7,29.1,27.4,25.4,24.5,23.0,21.0,22.4,24.4,26.1,27.3,29.7,25.8
IDCJAC0002,040764,2009,29.6,29.8,28.6,26.8,23.8,21.4,21.4,24.6,25.3,26.6,28.7,28.9,26.3
IDCJAC0002,040764,2010,30.4,29.3,28.1,27.2,24.0,21.6,21.5,21.7,24.3,24.0,26.3,27.1,25.5
IDCJAC0002,040764,2011,28.6,29.7,28.5,25.8,22.8,21.1,21.2,21.8,24.1,24.8,27.7,26.9,25.3
IDCJAC0002,040764,2012,28.0,29.1,27.7,25.9,23.7,21.1,21.0,22.7,24.3,25.7,27.0,28.9,25.4
IDCJAC0002,040764,2013,29.3,27.9,27.8,26.4,23.1,21.0,21.4,23.9,25.8,27.2,26.8,28.2,25.7
IDCJAC0002,040764,2014,29.2,29.2,28.2,27.6,24.1,22.7,21.5,21.6,23.8,26.1,27.7,28.7,25.9
IDCJAC0002,040764,2015,29.7,28.4,29.7,26.6,24.2,21.4,20.7,22.7,23.9,26.0,28.0,28.4,25.8
IDCJAC0002,040764,2016,29.1,29.7,29.1,27.4,25.8,21.5,null,null,null,null,null,null,null
