Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,043020,1907,32.6,31.8,30.1,27.1,22.9,19.6,19.4,23.0,26.9,31.4,30.3,31.8,27.2
IDCJAC0002,043020,1908,33.5,32.9,28.6,25.7,22.9,17.4,18.1,20.3,23.9,26.1,30.8,34.7,26.2
IDCJAC0002,043020,1909,31.2,31.8,30.6,26.3,21.9,18.6,17.4,21.0,24.2,31.2,32.7,32.2,26.6
IDCJAC0002,043020,1910,31.9,32.3,27.1,27.2,24.7,19.6,18.4,22.4,26.4,27.2,28.7,34.3,26.7
IDCJAC0002,043020,1911,29.3,28.3,29.8,27.2,22.8,19.3,19.8,22.0,26.5,29.4,33.7,36.8,27.1
IDCJAC0002,043020,1912,36.1,35.9,31.1,28.6,24.9,18.9,17.7,21.8,25.7,28.8,31.4,34.7,28.0
IDCJAC0002,043020,1913,33.1,29.5,27.9,26.2,19.4,17.2,19.3,21.8,25.0,30.5,33.4,34.9,26.5
IDCJAC0002,043020,1914,35.6,33.6,29.1,29.6,22.7,19.5,17.3,22.6,25.4,28.0,35.1,34.9,27.8
IDCJAC0002,043020,1915,34.1,37.1,35.1,29.7,21.7,20.8,21.4,21.9,30.4,31.4,35.4,32.2,29.3
IDCJAC0002,043020,1916,35.6,36.3,33.1,27.1,24.8,19.6,18.2,20.3,24.1,27.7,27.5,29.4,27.0
IDCJAC0002,043020,1917,33.2,27.8,27.5,26.7,21.7,19.3,21.1,20.2,24.9,27.2,29.0,32.1,25.9
IDCJAC0002,043020,1918,28.8,31.0,29.8,26.3,22.0,22.3,19.1,21.5,25.8,31.6,33.4,36.6,27.4
IDCJAC0002,043020,1919,36.7,32.1,31.4,27.7,22.3,20.5,19.4,21.7,27.5,30.8,34.6,35.8,28.4
IDCJAC0002,043020,1920,33.9,32.0,30.4,26.1,21.7,19.3,17.4,19.0,23.0,27.1,31.9,32.9,26.2
IDCJAC0002,043020,1921,32.3,31.9,28.2,27.8,25.1,20.4,19.2,18.4,23.2,26.3,34.5,32.6,26.7
IDCJAC0002,043020,1922,32.8,33.1,32.6,30.9,23.4,19.8,18.1,21.2,26.9,30.2,34.4,33.7,28.1
IDCJAC0002,043020,1923,35.7,36.1,33.3,26.1,25.7,19.1,17.5,20.6,26.1,29.4,32.4,34.7,28.1
IDCJAC0002,043020,1924,33.6,31.4,29.4,24.5,23.4,18.9,18.9,21.2,24.2,26.8,29.0,30.3,26.0
IDCJAC0002,043020,1925,30.6,35.1,28.4,27.4,22.4,19.4,17.9,20.2,23.4,30.2,31.0,33.8,26.6
IDCJAC0002,043020,1926,34.2,37.2,32.4,29.5,21.0,18.7,21.1,24.1,23.8,31.4,34.1,32.6,28.3
IDCJAC0002,043020,1927,32.8,33.8,31.1,27.0,23.3,19.7,20.0,22.1,26.2,27.7,32.0,28.7,27.0
IDCJAC0002,043020,1928,33.6,31.7,31.0,26.6,21.2,17.6,18.6,23.9,29.2,32.4,31.5,33.9,27.6
IDCJAC0002,043020,1929,35.3,32.1,31.3,24.4,21.7,18.4,18.4,22.6,25.0,30.2,32.5,33.5,27.1
IDCJAC0002,043020,1930,32.6,32.8,30.6,26.5,21.3,17.1,19.2,21.2,24.7,27.7,32.3,32.4,26.5
IDCJAC0002,043020,1931,36.2,34.1,29.6,26.6,23.4,20.3,18.7,22.6,26.9,27.5,28.9,30.3,27.1
IDCJAC0002,043020,1932,35.9,35.9,31.7,26.8,21.6,18.3,18.5,21.6,24.1,29.3,30.4,33.9,27.3
