Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,041095,1938,27.6,28.4,26.3,24.2,19.1,15.1,13.4,14.8,19.6,24.4,25.8,30.2,22.4
IDCJAC0002,041095,1939,30.5,27.7,24.4,20.6,19.4,14.9,13.3,14.1,19.7,21.5,25.7,28.5,21.7
IDCJAC0002,041095,1940,30.9,27.4,24.5,22.2,18.4,17.2,16.1,18.2,21.5,25.6,27.6,27.5,23.1
IDCJAC0002,041095,1941,24.2,25.1,24.2,21.3,18.8,14.4,15.3,16.1,22.8,24.7,26.7,28.8,21.9
IDCJAC0002,041095,1942,30.9,23.4,26.3,22.9,19.9,17.3,15.5,18.5,20.6,20.9,25.2,24.7,22.2
IDCJAC0002,041095,1943,26.8,26.7,27.6,21.7,18.9,14.8,14.9,14.3,19.2,22.9,23.2,27.2,21.5
IDCJAC0002,041095,1944,28.0,25.7,24.1,23.0,17.4,15.7,15.2,16.1,19.4,23.6,28.2,29.6,22.2
IDCJAC0002,041095,1945,29.6,28.7,25.9,20.7,17.8,16.4,14.3,16.6,19.4,21.8,26.2,26.9,22.0
IDCJAC0002,041095,1946,28.3,27.4,24.4,21.4,20.2,14.6,16.2,19.8,19.7,22.7,28.2,28.4,22.6
IDCJAC0002,041095,1947,28.8,23.6,24.7,20.5,18.7,15.9,15.1,15.8,19.7,21.4,23.2,26.1,21.1
IDCJAC0002,041095,1948,24.9,27.4,24.5,20.3,17.8,15.9,15.1,16.8,18.8,24.2,26.1,28.1,21.7
IDCJAC0002,041095,1949,27.8,27.6,23.8,20.8,18.2,14.1,15.3,17.2,18.9,23.1,24.3,29.1,21.7
IDCJAC0002,041095,1950,28.5,24.8,24.6,21.7,18.8,14.2,15.8,15.8,20.0,20.5,22.4,26.6,21.1
IDCJAC0002,041095,1951,24.2,26.1,23.8,20.6,17.7,15.1,15.1,14.3,19.9,22.3,28.0,29.1,21.4
IDCJAC0002,041095,1952,32.0,28.2,23.6,20.2,16.6,14.2,14.1,15.2,18.6,20.8,24.0,27.2,21.2
IDCJAC0002,041095,1953,25.8,24.6,23.6,22.8,17.3,15.7,15.2,15.2,19.3,22.2,25.7,30.7,21.5
