Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,040209,1997,null,28.0,28.2,null,null,20.4,19.9,21.3,22.9,23.9,25.9,28.7,null
IDCJAC0002,040209,1998,30.0,30.2,29.6,26.6,24.1,21.6,20.4,21.9,24.0,25.5,25.2,28.2,25.6
IDCJAC0002,040209,1999,null,27.8,28.2,25.2,23.7,20.9,20.5,20.8,22.9,24.7,24.7,26.6,null
IDCJAC0002,040209,2000,28.1,28.5,28.0,26.2,22.8,20.4,20.2,21.7,24.2,24.9,25.5,27.8,24.9
IDCJAC0002,040209,2001,28.7,28.4,28.4,26.2,23.3,22.5,20.7,22.1,23.7,25.5,26.1,28.2,25.3
IDCJAC0002,040209,2002,29.1,30.5,28.1,26.7,23.6,22.0,21.4,21.0,23.7,24.7,26.0,27.9,25.4
IDCJAC0002,040209,2003,28.0,28.0,26.9,24.5,23.1,21.7,20.6,20.9,24.5,24.5,25.9,27.6,24.7
IDCJAC0002,040209,2004,29.3,29.4,27.8,25.9,23.2,21.7,21.2,21.8,22.8,25.2,25.9,27.0,25.1
IDCJAC0002,040209,2005,28.1,29.6,28.7,26.5,23.4,21.1,21.5,21.5,23.2,25.7,26.6,29.3,25.4
IDCJAC0002,040209,2006,29.4,29.8,27.9,26.7,23.7,20.9,21.4,22.4,22.9,24.3,25.5,26.8,25.1
IDCJAC0002,040209,2007,28.9,29.4,29.1,25.8,25.2,20.7,20.5,21.7,23.4,25.9,26.6,28.1,25.4
IDCJAC0002,040209,2008,28.5,28.9,27.5,25.6,23.9,23.6,21.1,21.9,23.8,25.7,27.1,28.2,25.5
IDCJAC0002,040209,2009,29.3,29.6,29.1,27.3,24.4,22.1,21.5,24.4,25.5,26.1,28.0,28.7,26.3
IDCJAC0002,040209,2010,30.0,29.9,28.8,27.6,24.7,22.4,21.6,21.7,24.3,24.4,26.5,27.3,25.8
IDCJAC0002,040209,2011,29.7,30.3,29.0,25.7,22.9,21.2,21.1,22.2,24.6,25.3,28.5,27.2,25.6
IDCJAC0002,040209,2012,28.8,29.4,28.4,26.1,23.7,21.2,21.0,22.9,24.4,25.8,27.2,29.7,25.7
IDCJAC0002,040209,2013,30.1,28.6,28.7,26.3,23.7,21.8,21.6,24.2,25.8,27.3,27.5,28.1,26.1
IDCJAC0002,040209,2014,null,30.3,29.5,28.7,25.3,22.4,21.5,22.4,23.7,26.6,28.3,28.4,null
IDCJAC0002,040209,2015,31.4,29.0,29.6,26.3,23.9,22.8,20.6,22.1,23.1,26.2,27.4,28.4,25.9
IDCJAC0002,040209,2016,29.4,29.9,29.7,27.3,25.6,21.0,null,null,null,null,null,null,null
