Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,035149,1968,null,null,null,null,null,null,20.1,22.8,25.2,30.9,34.8,32.5,null
IDCJAC0002,035149,1969,35.8,35.0,32.2,29.4,25.3,22.0,22.7,25.3,26.5,28.5,32.3,34.3,29.1
IDCJAC0002,035149,1970,35.0,31.4,32.9,29.9,25.9,null,21.9,24.0,26.3,30.1,30.8,31.4,null
IDCJAC0002,035149,1971,33.9,29.5,29.2,27.4,25.0,21.6,21.3,24.1,26.9,31.6,33.6,32.8,28.1
IDCJAC0002,035149,1972,32.3,29.0,30.2,28.8,24.3,22.6,22.6,25.0,27.8,31.1,30.9,34.2,28.2
IDCJAC0002,035149,1973,32.5,31.9,32.3,29.6,27.2,22.7,21.8,22.7,25.1,29.2,30.3,30.9,28.0
IDCJAC0002,035149,1974,30.0,30.9,30.3,29.5,24.0,21.7,21.2,23.1,23.4,26.7,29.7,33.5,27.0
IDCJAC0002,035149,1975,31.3,32.1,30.8,28.4,26.5,22.1,23.0,23.0,26.3,28.2,31.2,30.9,27.8
IDCJAC0002,035149,1976,31.1,29.9,30.7,28.0,24.8,22.2,21.4,22.8,25.5,27.6,31.4,33.5,27.4
IDCJAC0002,035149,1977,33.4,31.7,29.6,28.9,24.1,20.6,20.6,24.0,26.5,31.1,32.3,33.6,28.0
IDCJAC0002,035149,1978,33.1,31.5,31.9,27.9,23.3,19.6,20.2,20.6,23.3,25.9,29.1,32.2,26.6
IDCJAC0002,035149,1979,33.9,30.9,30.7,29.9,24.0,23.2,21.9,24.4,27.5,30.9,32.5,35.5,28.8
IDCJAC0002,035149,1980,33.3,30.9,30.6,28.6,26.0,22.7,21.0,24.1,30.4,31.5,34.5,33.3,28.9
IDCJAC0002,035149,1981,31.6,30.8,31.7,28.3,24.3,20.9,21.0,22.6,28.0,28.5,29.6,34.4,27.6
IDCJAC0002,035149,1982,34.3,33.1,30.8,29.0,25.7,20.7,21.0,24.4,27.3,30.0,33.7,34.8,28.7
IDCJAC0002,035149,1983,null,35.1,31.7,27.3,23.7,20.2,20.7,21.5,28.0,29.1,29.7,30.6,null
IDCJAC0002,035149,1984,32.0,31.8,30.7,27.6,25.1,22.6,19.9,22.6,24.6,26.5,30.6,33.1,27.3
IDCJAC0002,035149,1985,34.4,33.3,31.4,28.4,25.2,21.0,21.2,23.9,26.1,27.4,30.9,33.8,28.1
IDCJAC0002,035149,1986,33.5,33.3,32.9,31.0,25.4,22.3,21.5,22.9,27.8,27.2,30.1,32.9,28.4
IDCJAC0002,035149,1987,35.2,32.9,33.2,29.6,25.0,22.7,21.4,23.6,27.2,30.5,29.2,33.9,28.7
IDCJAC0002,035149,1988,34.7,32.9,31.0,28.4,25.5,22.6,22.3,22.9,27.0,34.2,32.7,32.1,28.9
IDCJAC0002,035149,1989,32.8,30.0,30.1,27.0,24.6,19.8,19.2,22.2,26.4,32.0,28.4,33.3,27.1
IDCJAC0002,035149,1990,36.0,35.2,31.3,26.5,23.9,20.4,21.7,22.8,26.0,30.9,34.1,33.8,28.5
IDCJAC0002,035149,1991,31.9,32.9,33.3,29.8,26.9,24.6,22.0,25.5,29.3,32.4,33.3,32.8,29.6
