Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,027073,2002,null,null,null,null,null,30.7,28.6,29.6,31.8,34.2,33.8,35.0,null
IDCJAC0002,027073,2003,32.1,32.1,31.0,31.7,31.0,30.7,29.7,29.9,32.1,35.3,34.4,35.1,32.1
IDCJAC0002,027073,2004,33.1,31.9,31.1,30.6,30.0,28.9,28.9,30.1,30.7,33.0,33.9,34.3,31.4
IDCJAC0002,027073,2005,31.5,32.8,31.5,30.8,30.3,30.0,29.3,29.4,31.9,33.9,35.0,35.8,31.8
IDCJAC0002,027073,2006,31.8,31.8,30.6,30.3,29.2,28.6,28.3,28.5,30.7,31.1,34.8,34.5,30.9
IDCJAC0002,027073,2007,33.8,31.5,31.9,30.4,30.6,28.6,27.7,29.7,31.7,33.7,35.0,35.3,31.7
IDCJAC0002,027073,2008,31.9,31.4,31.5,31.0,30.1,29.4,28.6,29.5,31.9,32.7,35.6,33.2,31.4
IDCJAC0002,027073,2009,31.4,31.6,31.9,32.3,30.4,30.8,29.7,30.5,32.7,33.2,34.3,35.6,32.0
IDCJAC0002,027073,2010,31.7,32.8,32.0,31.0,31.1,30.2,29.7,30.9,31.7,32.7,33.0,33.2,31.7
IDCJAC0002,027073,2011,31.6,31.5,31.1,30.7,29.9,28.6,28.3,29.9,31.2,34.5,34.6,33.3,31.3
IDCJAC0002,027073,2012,32.4,31.9,30.8,30.9,29.6,29.5,29.4,29.7,32.2,32.8,34.7,36.5,31.7
IDCJAC0002,027073,2013,34.3,33.9,31.2,31.4,30.5,29.9,29.0,30.4,32.3,33.8,34.3,33.9,32.1
IDCJAC0002,027073,2014,31.9,30.5,31.6,31.4,30.5,28.9,28.4,30.3,32.2,32.9,34.5,36.6,31.6
IDCJAC0002,027073,2015,32.8,32.3,31.2,31.7,30.7,29.8,29.4,30.0,32.1,32.1,35.7,33.9,31.8
IDCJAC0002,027073,2016,34.6,33.8,32.5,31.7,31.8,30.4,null,null,null,null,null,null,null
