Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,029063,2001,null,null,null,34.3,31.4,31.0,29.8,31.2,34.7,36.7,37.8,36.0,null
IDCJAC0002,029063,2002,34.1,33.8,35.2,36.0,33.0,29.7,29.7,31.1,35.1,36.6,37.3,36.6,34.0
IDCJAC0002,029063,2003,33.6,34.0,33.6,35.5,33.1,31.5,30.5,32.1,34.6,36.7,38.2,36.7,34.2
IDCJAC0002,029063,2004,33.6,33.1,35.0,34.5,33.2,29.7,30.0,30.7,33.7,36.9,37.4,35.0,33.6
IDCJAC0002,029063,2005,34.4,34.7,35.6,36.0,32.4,31.1,30.9,30.5,34.8,37.3,36.8,37.5,34.3
IDCJAC0002,029063,2006,34.5,35.6,32.9,31.3,30.2,28.7,27.9,30.7,33.9,36.5,37.5,37.3,33.1
IDCJAC0002,029063,2007,33.1,33.3,33.3,33.9,34.1,25.6,28.2,31.4,34.9,36.8,37.2,35.2,33.1
IDCJAC0002,029063,2008,34.2,32.6,33.5,33.9,31.1,30.4,28.9,31.5,35.3,37.7,36.9,37.6,33.6
IDCJAC0002,029063,2009,29.9,31.9,35.4,35.4,30.9,30.7,29.8,33.2,35.0,36.7,37.2,36.3,33.5
IDCJAC0002,029063,2010,33.8,32.9,33.0,32.2,31.3,29.5,31.5,32.6,35.9,35.8,35.3,34.5,33.2
IDCJAC0002,029063,2011,33.1,32.1,30.9,31.9,29.5,27.7,29.5,31.1,33.5,36.7,35.8,35.3,32.3
IDCJAC0002,029063,2012,34.3,35.0,31.8,32.8,30.1,28.1,29.1,31.6,34.5,36.4,37.4,36.6,33.1
IDCJAC0002,029063,2013,35.6,35.7,35.2,34.4,32.6,30.4,30.7,32.7,35.5,38.0,35.8,37.0,34.5
IDCJAC0002,029063,2014,35.2,31.3,34.3,34.4,32.3,29.6,29.6,30.8,34.8,36.3,37.0,36.2,33.5
IDCJAC0002,029063,2015,33.9,35.9,37.0,35.3,33.3,31.5,29.5,31.7,33.7,36.1,37.9,34.3,34.2
IDCJAC0002,029063,2016,34.8,35.6,34.0,35.6,33.3,31.0,null,null,null,null,null,null,null
