Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,031017,1942,null,null,null,null,null,null,null,null,null,null,31.4,32.8,null
IDCJAC0002,031017,1943,33.4,null,30.9,31.0,28.3,26.7,28.1,29.0,31.2,32.1,32.5,null,null
IDCJAC0002,031017,1944,null,31.8,null,29.6,28.6,25.8,26.1,26.6,27.9,29.5,30.8,31.5,null
IDCJAC0002,031017,1945,30.7,31.4,30.1,29.3,27.5,27.6,26.7,28.2,29.4,30.0,31.7,31.7,29.5
IDCJAC0002,031017,1946,32.1,31.2,32.0,30.2,28.4,26.1,null,null,null,null,null,null,null
IDCJAC0002,031017,1987,null,null,null,null,null,null,25.6,26.6,27.7,30.8,32.1,32.3,null
IDCJAC0002,031017,1988,31.9,31.7,30.4,30.3,28.4,26.7,26.6,26.8,28.4,31.0,31.3,31.8,29.6
IDCJAC0002,031017,1989,31.6,31.4,29.7,29.8,28.2,25.9,26.1,26.5,28.7,30.4,31.1,31.8,29.3
IDCJAC0002,031017,1990,32.4,34.4,31.1,29.8,27.8,26.3,26.0,26.9,27.4,29.5,31.7,33.1,29.7
IDCJAC0002,031017,1991,31.4,31.2,30.1,28.6,27.3,27.0,26.2,27.4,28.8,29.9,31.4,33.5,29.4
IDCJAC0002,031017,1992,33.5,32.6,31.9,29.2,28.7,26.9,26.3,28.0,30.0,29.6,32.5,31.5,30.1
IDCJAC0002,031017,1993,30.3,30.6,31.7,28.9,27.5,26.5,26.4,26.9,28.2,29.5,31.2,31.7,29.1
IDCJAC0002,031017,1994,33.7,31.3,30.8,28.4,27.3,26.5,25.6,25.8,27.9,29.9,31.8,32.2,29.3
IDCJAC0002,031017,1995,33.0,31.4,30.3,30.0,27.9,26.4,26.6,25.8,28.4,30.3,32.4,34.2,29.7
IDCJAC0002,031017,1996,32.3,31.1,29.6,30.2,28.4,27.1,26.1,27.1,28.8,29.5,31.5,32.2,29.5
IDCJAC0002,031017,1997,30.9,31.0,30.5,28.1,27.7,26.1,25.9,26.4,28.1,29.3,30.6,31.6,28.9
IDCJAC0002,031017,1998,32.0,31.2,30.1,30.1,28.5,27.0,26.8,28.1,29.3,31.6,32.0,31.7,29.9
IDCJAC0002,031017,1999,31.6,31.2,30.0,29.0,27.7,27.1,26.1,26.4,28.3,30.4,30.4,31.0,29.1
IDCJAC0002,031017,2000,31.3,30.5,30.1,29.3,27.6,24.9,25.4,27.0,29.0,30.7,31.8,29.4,28.9
IDCJAC0002,031017,2001,30.5,29.9,30.6,29.0,27.7,26.9,26.5,27.2,29.0,30.4,31.7,33.4,29.4
IDCJAC0002,031017,2002,33.3,32.9,30.7,29.8,28.6,27.5,26.4,27.1,28.0,null,null,null,null
